Status;Funktion;Reserve_D;Behinderung;Soziales;Anwesenheit;Reserve_H;Reserve_I;Reserve_J;Reserve_K;Reserve_L;Nachname;Vorname;Geburtsdatum;Kontakt;PLZ;Wohnort;Geschlecht;Platz_1;Platz_2;Platz_3;Platz_4;Platz_5;Platz_6;Platz_7;Alter;Landkreis;Bundesland
Angemeldet;TN;--;--;--;3;--;--;--;--;--;Müller;Lisa;15.07.2012;lisa@test.de;56346;Nastätten;w;;;;;;;12;Rhein-Lahn-Kreis;Rheinland-Pfalz
Angemeldet;TN;--;--;--;3;--;--;--;--;--;Schmidt;Tom;22.03.2010;tom@test.de;56130;Bad Ems;m;;;;;;;14;Rhein-Lahn-Kreis;Rheinland-Pfalz
Angemeldet;TN;--;--;--;3;--;--;--;--;--;Weber;Anna;10.11.2008;anna@test.de;56414;Hundsangen;w;;;;;;;16;Westerwaldkreis;Rheinland-Pfalz
Angemeldet;TN;--;--;--;3;--;--;--;--;--;Braun;Felix;05.05.2011;felix@test.de;56355;Nastätten;m;;;;;;;13;Rhein-Lahn-Kreis;Rheinland-Pfalz
Angemeldet;TN;--;--;--;3;--;--;--;--;--;Klein;Emma;01.01.2013;emma@test.de;56379;Singhofen;w;;;;;;;11;Rhein-Lahn-Kreis;Rheinland-Pfalz
Angemeldet;TN;--;--;--;3;--;--;--;--;--;Hofmann;Max;08.09.2009;max@test.de;57610;Altenkirchen;m;;;;;;;15;Landkreis Altenkirchen;Rheinland-Pfalz
Angemeldet;TN;--;--;--;3;--;--;--;--;--;Krause;Sophie;14.04.2010;sophie@test.de;57610;Altenkirchen;w;;;;;;;14;Landkreis Altenkirchen;Rheinland-Pfalz
Angemeldet;TN;--;--;--;3;--;--;--;--;--;Neumann;Tim;21.06.2011;tim@test.de;57518;Betzdorf;m;;;;;;;13;Landkreis Altenkirchen;Rheinland-Pfalz
Angemeldet;TN;--;--;--;3;--;--;--;--;--;Hartmann;Lea;03.02.2012;lea@test.de;57518;Betzdorf;w;;;;;;;12;Landkreis Altenkirchen;Rheinland-Pfalz
Angemeldet;TN;--;--;--;3;--;--;--;--;--;Schmitt;Paul;17.08.2010;paul@test.de;55232;Alzey;m;;;;;;;14;Landkreis Alzey-Worms;Rheinland-Pfalz
